ID;Nom;Référence;Catégorie;Prix de base;Quantite;Etat;Millesime;Poids;U.C.;Cont;Coul;Caractéristiques
792;AOP COTEAUX BOURGUIGNON DOMAINE DU BOIS DU JOUR;229009;DOMAINE DU BOIS DU JOUR;3,8;2000;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
628;CLOS TRIMOULET;051002CB;VIGNOBLE APPOLLOT;28,35;0;1;2010;1,4;x 3;75 cl;RGE;annee:2010,couleur:RGE,contenant:75 cl,conditionnement:x 3
527;IGP VDP DES BOUCHES DU RHONE MAS VALERIOLE MARSELAN CUVEE NATURE SANS SOUFFRE;240003H;MAS DE VALERIOLE ;4,65;158;1;2015;1,33;x 6;75 cl;RGE;annee:2015,couleur:RGE,contenant:75 cl,conditionnement:x 6
235;IGP MAURY COTES D'AGLY;039028;VIGNERONS DES COTES D'AGLY;5;1958;1;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
333;AOP COTEAUX DU LYONNAIS DOMAINE DU PETIT FROMENTIN;224003H;DOMAINE PETIT FROMENTIN;3,44;1932;1;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
432;AOP MARSANNAY DOMAINE HUGUENOT;805007H;DOMAINE HUGUENOT;9,71;2000;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
580;Chateau Lauduc  Classic;049016;CHATEAU LAUDUC ;1,85;0;1;2012;0,63;x 12;37.5 cl;RGE;annee:2012,couleur:RGE,contenant:37.5 cl,conditionnement:x 12
212;AOP SAINT CHINIAN COTEAU DES GRIOTTES;603003H;LE COTEAU DES GRIOTTES;2,25;790;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
307;AOP GIGONDAS LA REFENCE;074012;GIGONDAS LA CAVE;7,6;1934;0;2012;7,98;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
409;AOP SAUMUR BRUT DOMAINE DE LA PALEINE;089800;DOMAINE DE LA PALEINE;4,15;1970;1;2016;1,33;x 6;75 cl;RSE;annee:2016,couleur:RSE,contenant:75 cl,conditionnement:x 6
167;IGP PAYS D'OC SYRAH CAYENNE CASTELNAU;178003H;DOMAINE DE CASTELNAU;2,19;772;1;2015;1,33;x 6;75 cl;RGE;annee:2015,couleur:RGE,contenant:75 cl,conditionnement:x 6
846;IGP CEVENNES BLC;187009H;VIGNERONS DE TORNAC;9,26;50;1;NM;3,2;x 1;B03L;BLC;annee:NM,couleur:BLC,contenant:B03L,conditionnement:x 1
105;AOP HAUT MEDOC CHATEAU TOUR MARCILLANET;215001H;CHATEAU TOUR MARCILLANET;6,5;970;1;2011;1,33;x 6;75 cl;RGE;annee:2011,couleur:RGE,contenant:75 cl,conditionnement:x 6
53;AOP BORDEAUX SUPERIEUR CHATEAU GAURY-BALETTE;019011;VIGNOBLE YON;2,72;1946;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
771;AOP ST CHINIAN LE COTEAU DES GRIOTTES;603001H;LE COTEAU DES GRIOTTES;10,39;349;1;NM;10,2;x 1;B10L;RGE;annee:NM,couleur:RGE,contenant:B10L,conditionnement:x 1
192;AOP COTEAUX DU LANGUEDOC PRIEURE ST JEAN DE BEBIAN;199005;PRIEURE ST JEAN DE BEBIAN;14,2;1000;1;2013;1,33;x 6;75 cl;BLC;annee:2013,couleur:BLC,contenant:75 cl,conditionnement:x 6
286;AOP COTES DU RHONE VILLAGES JASOUN;201014;CAVE LES COTEAUX DU RHONE;3;1934;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
388;PORTO TWANY 10 ANS D'AGE QUINTA SANTA EUFEMIA;CDH-556004;PORTOS;20,35;1997;1;NM;1,33;x 6;75 cl;RGE;annee:NM,couleur:RGE,contenant:75 cl,conditionnement:x 6
81;AOP ST EMILION CHATEAU JUPILLE CARILLON;164001;CHATEAU JUPILLE CARILLON;15,1;1000;1;2010;1,47;x 6;150 cl;RGE;annee:2010,couleur:RGE,contenant:150 cl,conditionnement:x 6
545;AOP LUBERON - TERRARMONIE - LOUERION;202013;LOUERION TERRES D'ALLIANCE;3,5;2000;1;2013;1,33;x 6;75 cl;RSE;annee:2013,couleur:RSE,contenant:75 cl,conditionnement:x 6
22;AOP LUBERON LOUERION;202015;LOUERION - TERRE D'ALLIANCE;9,95;87;1;2014;5,5;x 1;B05L;RGE;annee:2014,couleur:RGE,contenant:B05L,conditionnement:x 1
250;AOP CLAIRETTE DE DIE TRADITION;207001H;CUVEE CHAMBERAN;4,7;1982;1;2016;1,33;x 6;75 cl;BLC;annee:2016,couleur:BLC,contenant:75 cl,conditionnement:x 6
351;AOP COTE DU JURA TROUSSEAU;CDH-222003;DOMAINE GRAND;8,25;2000;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
447;AOP MERCUREY DOMAINE SUREMAIN;154001H;DOMAINE DE SUREMAIN;8,94;1988;1;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
